Ticker,Return,Volume Change Rate,Original Ticker
대상,-0.978,-34.748,001680.KS
현대건설,-0.993,28.095,000720.KS
SK리츠,-1.0,430.689,395400.KS
F&F홀딩스,-1.007,-28.732,007700.KS
휴비스,-1.007,49.096,079980.KS
대한해운,-1.011,-29.176,005880.KS
포스코스틸리온,-1.013,10.32,058430.KS
SK이터닉스,-1.016,35.507,475150.KS
문배철강,-1.025,-42.488,008420.KS
아남전자,-1.034,3482.819,008700.KS
KEC,-1.047,-22.84,092220.KS
마니커,-1.052,171.705,027740.KS
두산퓨얼셀,-1.056,-5.32,336260.KS
진양화학,-1.068,-47.519,051630.KS
한미반도체,-1.084,-47.183,042700.KS
조광피혁,-1.085,-39.526,004700.KS
한국석유,-1.093,-18.917,004090.KS
CJ대한통운,-1.105,-57.295,000120.KS
TYM,-1.106,-4.217,002900.KS
제주항공,-1.114,-53.772,089590.KS
LG생활건강,-1.117,-28.317,051900.KS
지역난방공사,-1.117,-68.562,071320.KS
세아제강,-1.124,52.343,306200.KS
일동제약,-1.128,-42.963,249420.KS
사조오양,-1.129,-31.953,006090.KS
미래에셋생명,-1.132,-41.025,085620.KS
체시스,-1.139,-58.03,033250.KS
HDC,-1.167,-57.692,012630.KS
신한알파리츠,-1.169,37.849,293940.KS
한국무브넥스,-1.17,52.239,010100.KS
SG글로벌,-1.176,-22.028,001380.KS
알루코,-1.188,-46.889,001780.KS
세원정공,-1.189,118.387,021820.KS
POSCO홀딩스,-1.211,-24.821,005490.KS
텔코웨어,-1.218,145.463,078000.KS
샘표식품,-1.222,-84.259,248170.KS
LG이노텍,-1.225,-40.224,011070.KS
세아베스틸지주,-1.244,-11.364,001430.KS
