종목명,티커
태양금속,004100.KS
동방,004140.KS
NPC,004250.KS
현대약품,004310.KS
세방,004360.KS
삼익THK,004380.KS
이지스밸류리츠,334890.KS
이지스레지던스리츠,350520.KS
디앤디플랫폼리츠,377190.KS
미래에셋글로벌리츠,396690.KS
NH올원리츠,400760.KS
신한서부티엔디리츠,404990.KS
코람코더원리츠,417310.KS
한화리츠,451800.KS
신한글로벌액티브리츠,481850.KS
동화약품,000020.KS
경방,000050.KS
하이트진로홀딩스,000140.KS
성창기업지주,000180.KS
노루홀딩스,000320.KS
삼화페인트,000390.KS
대원강업,000430.KS
CR홀딩스,000480.KS
대동,000490.KS
가온전선,000500.KS
흥국화재,000540.KS
LS네트웍스,000680.KS
유수홀딩스,000700.KS
강남제비스코,000860.KS
한국주철관,000970.KS
페이퍼코리아,001020.KS
만호제강,001080.KS
대한제분,001130.KS
동국홀딩스,001230.KS
부국증권,001270.KS
삼성제약,001360.KS
SG글로벌,001380.KS
KG케미칼,001390.KS
BYC,001460.KS
삼부토건,001470.KS
현대차증권,001500.KS
SK증권,001510.KS
동양,001520.KS
종근당홀딩스,001630.KS
한양증권,001750.KS
알루코,001780.KS
SJM,123700.KS
인터지스,129260.KS
화인베스틸,133820.KS
시디즈,134790.KS
핸즈코퍼레이션,143210.KS
다이나믹디자인,145210.KS
DSR,155660.KS
현대코퍼레이션홀딩스,227840.KS
에이플러스에셋,244920.KS
씨티알모빌리티,308170.KS
화승알앤에이,378850.KS
유니드비티플러스,446070.KS
STX그린로지스,465770.KS
이스타코,015020.KS
에이엔피,015260.KS
KIB플러그에너지,015590.KS
대현,016090.KS
웅진,016880.KS
광명전기,017040.KS
명문제약,017180.KS
동원금속,018500.KS
티에이치엔,019180.KS
일진디스플,020760.KS
서원,021050.KS
세원정공,021820.KS
MH에탄올,023150.KS
한국종합기술,023350.KS
인팩,023810.KS
에쓰씨엔지니어링,023960.KS
WISCOM,024070.KS
대원화성,024890.KS
SJM홀딩스,025530.KS
미래산업,025560.KS
제이준코스메틱,025620.KS
한솔홈데코,025750.KS
한국주강,025890.KS
부국철강,026940.KS
마니커,027740.KS
동원수산,030720.KS
콤텍시스템,031820.KS
황금에스티,032560.KS
체시스,033250.KS
팜스코,036580.KS
상신브레이크,041650.KS
주연테크,044380.KS
코스맥스비티아이,044820.KS
유니온머티리얼,047400.KS
우진플라임,049800.KS
진양화학,051630.KS
테이팩스,055490.KS
다스코,058730.KS
KTis,058860.KS
세이브존I&C,067830.KS
대호에이엘,069460.KS
한세엠케이,069640.KS
DSR제강,069730.KS
하이스틸,071090.KS
코아스,071950.KS
유엔젤,072130.KS
새론오토모티브,075180.KS
텔코웨어,078000.KS
동양고속,084670.KS
TBH글로벌,084870.KS
엔케이,085310.KS
진도,088790.KS
평화산업,090080.KS
메타랩스,090370.KS
세원이앤씨,091090.KS
기신정기,092440.KS
동양피스톤,092780.KS
형지엘리트,093240.KS
비상교육,100220.KS
인바이오젠,101140.KS
쌍방울,102280.KS
호전실업,111110.KS
메타케어,118000.KS
KC코트렐,119650.KS
한창,005110.KS
국동,005320.KS
모나미,005360.KS
크라운해태홀딩스,005740.KS
대림B&Co,005750.KS
신영와코루,005800.KS
원림,005820.KS
동부건설,005960.KS
사조오양,006090.KS
한국전자홀딩스,006200.KS
대구백화점,006370.KS
대림통상,006570.KS
삼성공조,006660.KS
영풍제지,006740.KS
신송홀딩스,006880.KS
우성,006980.KS
미래아이앤지,007120.KS
한국특강,007280.KS
동방아그로,007590.KS
선도전기,007610.KS
TP,007980.KS
이건산업,008250.KS
문배철강,008420.KS
일정실업,008500.KS
윌비스,008600.KS
아남전자,008700.KS
금비,008870.KS
경인전자,009140.KS
한솔로지스틱스,009180.KS
대양금속,009190.KS
무림페이퍼,009200.KS
참엔지니어링,009310.KS
대우부품,009320.KS
KC그린홀딩스,009440.KS
한창제지,009460.KS
삼정펄프,009770.KS
플레이그램,009810.KS
한국내화,010040.KS
우진아이엔에스,010400.KS
한솔PNS,010420.KS
웰바이오텍,010600.KS
진양폴리,010640.KS
화천기계,010660.KS
평화홀딩스,010770.KS
삼호개발,010960.KS
에넥스,011090.KS
삼화전자,011230.KS
성안머티리얼스,011300.KS
부산산업,011390.KS
갤럭시아에스엠,011420.KS
영흥,012160.KS
아센디오,012170.KS
계양전기,012200.KS
영화금속,012280.KS
세우글로벌,013000.KS
일성건설,013360.KS
화승코퍼레이션,013520.KS
까뮤이앤씨,013700.KS
지엠비코리아,013870.KS
한익스프레스,014130.KS
영보화학,014440.KS
HL D&I,014790.KS
성문전자,014910.KS
인디에프,014990.KS
에이리츠,140910.KS
케이탑리츠,145270.KS
스타에스엠리츠,204210.KS
NH프라임리츠,338100.KS
미래에셋맵스리츠,357250.KS
마스턴프리미어리츠,357430.KS
KR모터스,000040.KS
유유제약,000220.KS
일동홀딩스,000230.KS
대유플러스,000300.KS
CS홀딩스,000590.KS
천일고속,000650.KS
이화산업,000760.KS
화천기공,000850.KS
보해양조,000890.KS
유니온,000910.KS
전방,000950.KS
대한방직,001070.KS
국보,001140.KS
금호전기,001210.KS
남광토건,001260.KS
상상인증권,001290.KS
태원물산,001420.KS
조비,001550.KS
제일연마,001560.KS
케이비아이동국실업,001620.KS
SHD,001770.KS
비비안,002070.KS
고려산업,002140.KS
한일철강,002220.KS
SH에너지화학,002360.KS
범양건영,002410.KS
세기상사,002420.KS
삼익악기,002450.KS
HS화성,002460.KS
오리엔트바이오,002630.KS
동일제강,002690.KS
보락,002760.KS
SUN&L,002820.KS
신풍,002870.KS
대유에이텍,002880.KS
유성기업,002920.KS
혜인,003010.KS
성보화학,003080.KS
한진중공업홀딩스,003480.KS
IHQ,003560.KS
한성기업,003680.KS
진양산업,003780.KS
SG세계물산,004060.KS
한솔홀딩스,004150.KS
남성,004270.KS
서울식품,004410.KS
삼일씨엔에스,004440.KS
삼화왕관,004450.KS
깨끗한나라,004540.KS
팜젠사이언스,004720.KS
써니전자,004770.KS
DRB동일,004840.KS
티웨이홀딩스,004870.KS
동일산업,004890.KS
조광페인트,004910.KS
씨아이테크,004920.KS
한신공영,004960.KS
부산주공,005030.KS
